m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
This Ones For Phil,3/19/2009,"3, g, Untuttable - Heaven's Gate, by Septieme Ciel",R. Dutrow Jr.,"Quarter crack + Injured pastern, filling back leg
",Finished second (placed first) at 8-5 odds in the Grade 2 Swale Stakes at Gulfstream on March 28,,,,,,,,,,,,,,,,,
This Ones for Phil,5/21/2009,"3, g, Untuttable - Heaven's Gate, by Septieme Ciel",R. Dutrow Jr.,"Cough
",Finished fifth at 9-5 odds in the Grade 2 Woody Stephens Stakes at Belmont on June 6,,,,,,,,,,,,,,,,,
Thoroughly,12/31/2007,"4, c, Full Mandate - King's Pact, by Slewacide",P. Miller,"Undisclosed
","Finished eighth at 4-1 odds in a $10,000 claimer at Santa Anita on February 19",,,,,,,,,,,,,,,,,
Thunder Ball,12/2/2009,"2, c, Golden Missile - Grandiosa, by El Prado",R. Baker,Bled,DNF at 3-1 odds in the Display Stakes at Woodbine on December 5,,,,,,,,,,,,,,,,,
Tiago,3/15/2009,"5, h, Pleasant Tap - Set Them Free, by Stop the Music",J. Shirreffs,"Intestinal problem (missed three weeks)
",Finished sixth at 11-10 odds in the Harry F. Brubaker Stakes at Del Mar on August 26,,,,,,,,,,,,,,,,,
Tiger Blitz,5/22/2009,"3, g, Tiger Ridge - Glittering Sky, by Air Forbes Won",V. Cerin,Injured,Finished second at 6-1 odds in a 'n1x' allowance at Hollywood on May 24,,,,,,,,,,,,,,,,,
Tiger's Song,1/27/2009,"3, f, Roar of the Tiger - Penn Central, by Sultry Song",C. Richard,"Bruised foot
",Finished sixth at 5-2 odds in a 'n2x' allowance at Arlington on June 27,,,,,,,,,,,,,,,,,
Timber Reserve,1/5/2009,"5, h, Forest Camp - Fountain Square, by Danzig Connection",J. Kimmel,Respiratory problem + Suspensory,Finished seventh at 9-2 odds in a 'n$y' optional claimer at Saratoga on September 3,,,,,,,,,,,,,,,,,
Tizaqueena,2/6/2009,"4, f, Tiznow - Issaqueena, by Mr. Prospector",M. Stidham,Coughing,Finished first at 5-2 odds in a 'n2x' allowance at Fair Grounds on February 8,,,,,,,,,,,,,,,,,
Tizdejavu,10/30/2008,"4, c, Tiznow - Remember When, by Dixie Brass",G. Fox,"Non-displaced condylar fracture right foreleg (surgery)
",Finished first at 11-10 odds in a 'n$y' optional claimer at Churchill Downs on May 17,,,,,,,,,,,,,,,,,
Tomcito,5/20/2008,"4, c, Street Cry - Inside Or Outside, by Eastern Echo",D. Zanelli Jr./T. Albertrani,"Myectomy (Throat Surgery for Displaced Palate) on May 13, + Congestion + Shin
",Finished seventh at 5-2 odds in the Grade 3 Skip Away Stakes at Gulfstream on April 4,,,,,,,,,,,,,,,,,
Toro Bonito,10/14/2009,"3, f, El Corredor - Blushing Bull, by In Excess",B. Baffert,"""Jammed"" - B. Baffert (DRF 10/16) + Stomach cramps",Finished third at 7-1 odds in a 'n1x' allowance at Hollywood Park on December 18,,,,,,,,,,,,,,,,,
Tranquil Manner,2/2/2009,"3, c, A.P. Indy - Composure, by Touch Gold",K. McLaughlin,"Foot
",Finished fourth at 19-1 odds in a 'n1x' allowance at Aqueduct on Novmeber 11,,,,,,,,,,,,,,,,,
Triumphant Flight,3/26/2009,"3, c, Chullo - Jetinwithkennedy, by Kennedy Road",J. Kruljac,Heat in knee,Finished first at 7-1 odds in the San Miguel Stakes at Santa Anita on March 28,,,,,,,,,,,,,,,,,
True Quality,6/29/2009,"4, c, Elusive Quality - Louve Mysterieuse, by Seeking the Gold",J. Campo Jr./J. DeMola,"""we got all his infirmities cleared up..."" (DRF, 7/1/09)
",Finished seventh at 9-1 odds in the Pennsylvania Governor's Cup Handicap at Penn National on August 1,,,,,,,,,,,,,,,,,
True to Tradition,5/13/2009,"7, g, Rahy - Fortunate Dancer, by Fortunate PRospect",S. Lake,Quarter crack,Finished fourth at 7-2 odds in the Jim McKay Turf Sprint Stakes at Pimlico on May 15,,,,,,,,,,,,,,,,,
Tuxedo Park,7/26/2009,"2, c, Gilded Time - Loon Lake, by Cryptoclearance",H. Smith,"Sick
",Finished sixth at 11-1 odds in maiden special weight at Laurel on August 23,,,,,,,,,,,,,,,,,
Two Step Salsa,5/21/2009,"4, c, Petionville - Two to Waltz, by Seattle Slew",S. bin Suroor,"Temperature
",Finished fourth at 4-1 odds in the Grade 2 True North Handicap at Belmont on June 6,,,,,,,,,,,,,,,,,
Ultra Blend,2/26/2009,"3, f, Richly Blended - Ankha, by Desert Classic",S. Sherman,Bruised foot,Finished third at 6-5 odds in the King Glorious Stakes at Golden Gate on February 28,,,,,,,,,,,,,,,,,
Unbridled Express,3/18/2009,"5, h, Unbridled's Song - Skye Castles, by Sky Classic",B. Flint,"Hairline fracture hind pastern + Injured hock
",Finished second at 1-1 odds in a 'n1x' allowance at Oaklawn on March 26,,,,,,,,,,,,,,,,,
Unbridled's Heart,5/19/2009,"4, c, Unbridled's Song - Wild Heart Dancing, by Farma Way",T. Albertrani,"Grabbed tendon (stitches)
",Finished third at 1-5 odds in a 'n2L' allowance at Belmont on May 21,,,,,,,,,,,,,,,,,
Unveil the Mask,1/2/2009,"3, f, Harlan's Holiday - Flying Kitty, by Lord Carson",R. Violette JR.,Lung infection,Finished fourth at 7-2 odds in the Ruthless Stakes at Aqueduct on January 4,,,,,,,,,,,,,,,,,
Upperline,9/8/2009,"2, f, Maria's Mon - Snowflake, by Caerleon",M. Stidham,Minor setback,Finished first at 19-10 odds in a 'n1x' allowance at Keeneland on October 16,,,,,,,,,,,,,,,,,
Vegas Wedding,7/8/2009,"3, f, Chapel Royal - Flirting With Fate, by Saint Ballado",L. Lewis,"Sick
",Finished sixth at 16-1 odds in a 'n1x' allowance at Hollywood on July 10,,,,,,,,,,,,,,,,,
Verdana Bold,9/10/2008,"4, f, Rahy - True Legacy, by A.P. Indy",D. Vella,"Pastern
",Finished seventh at 16-1 odds in the Grade 3 Hendrie Stakes at Woodbine on May 10,,,,,,,,,,,,,,,,,
Verdana Bold,8/26/2009,"4, f, Rahy - True Legacy, by A.P. Indy",D. Vella,Congested,Finished seventh at 33-1 odds in the Grade 3 Seaway Stakes at Woodbine on September 5,,,,,,,,,,,,,,,,,
Victorina,2/5/2009,"6, m, Delaware Township - Since Time Began, by Rubiano",G. Gilchirst,"Colic
",Finished first at 11-10 odds in the Campanile Stakes at Golden Gate on February 7,,,,,,,,,,,,,,,,,
Victorina,8/6/2009,"6, m, Delaware Township - Since Time Began, by Rubiano",G. Gilchrist,Broken splint bone,Finished second at 1-10 odds in the Luther Burbank Handicap at Santa Rosa on August 8,,,,,,,,,,,,,,,,,
War Echo,2/27/2009,"3, f, Tapit - Wild Vision, by Wild Again",S. Asmussen,Wrenched knee,Finished fourth at 2-1 odds in the Cat Chat Stakes at Belmont on September 23,,,,,,,,,,,,,,,,,
Warning Zone,8/19/2008,"5, h, Chester House - Migrate, by Storm Bird",J. Sadler/M. Wolfson,"Popped quarter crack
",Finished tenth at 17-1 odds in the Grade 2 W. L. McKnight Handicap at Calder on December 26,,,,,,,,,,,,,,,,,
Warrior's Reward,7/6/2009,"3, c, Medaglia d'Oro - For All You Do, by Seeking the Gold",I. Wilkes,"Minor cuts on legs
",Finished second at 5-2 odds in the Grade 2 Jim Dandy Stakes at Saratoga on August 1,,,,,,,,,,,,,,,,,
We Will Rock You,1/13/2009,"5, m, Rock of Gibraltar - Born Beautiful, by Silver Deputy",C. Clement,"Temperature
",Finished second at 3-1 odds in a 'n2x' allowance at Santa Anita on January 15,,,,,,,,,,,,,,,,,
West Side Bernie,4/16/2009,"3, c, Bernstein - Time Honored, by Gilded Time",K. Breen,"Colic
",Finished ninth at 32-1 in the Grade 1 Kentucky Derby at Churchill Downs on May 2,,,,,,,,,,,,,,,,,
Westside Flyer,2/6/2009,"4, g, West Acre - Eastside Flyer, by Lord Avie",T. Beattie,Lung infection + minor issues,Finished first at 2-1 odds in a 'n1x' optional claimer at Aqueduct on February 8,,,,,,,,,,,,,,,,,
When We Met,1/21/2009,"3, c, Maria's Mon - Unbridled Femme, by Unbridled",M. Glatt,"Illness
",Finished sixth at 6-1 odds in a 'n1x' allowance at Santa Anita on January 23,,,,,,,,,,,,,,,,,
Whirlie Bertie,6/10/2009,"4, f, Stormin Fever - De Bertie, by De Niro",S. Margolis,"Hind-end fracture (no surgery)
",Finished fifth at 5-2 odds in a 'n3x' optional claimer at Churchill Downs on June 12,,,,,,,,,,,,,,,,,
White Shoes,6/18/2008,"4, g, Repent - Marianna's Song, by Unbridled's Song",R. Garcia,"Injured
",Finished sixth at 5-1 odds in a 'n1x' optional claimer at Calder on May 25,,,,,,,,,,,,,,,,,
Why Tonto,3/22/2008,"4, c, Indian Charlie - Why So Much, by Northern Baby",T. Pletcher,"Wrenched Left Front Ankle
",Finished fourth at 2-1 odds in a 'n3x' allowance at Gulfstream on February 19,,,,,,,,,,,,,,,,,
Wildcat Brief,8/7/2009,"3, c, Forest Wildcat - Grisham, by Grindstone",B. Perkins Jr.,"Lost tooth, bloody mouth",Finished sixth at 7-2 odds in the Select Stakes at Monmouth on August 9,,,,,,,,,,,,,,,,,
Wild Slide,12/31/2008,"4, g, Rock Slide - Wildcat Gal, by Forest Wildcat",M. Stidham,Cough,Finished fourth at 8-5 odds in a 'n2x' optional claimer at Fair Grounds on January 2,,,,,,,,,,,,,,,,,
Willow O Wisp,11/14/2008,"7, g, Misnomer - Willow Woodman, by Woodman",N. Wallis,"Bled
","Finished eighth at 7-1 odds in a $15,000 claimer at Lone Star on April 25",,,,,,,,,,,,,,,,,
Winchester,6/10/2009,"4, c, Theatrical - Rum Charger, by Spectrum",D. Weld/C. Clement,"""had a few issues"" - C. Clement (6/10/09 - DRF)
",Finished sixth at 17-10 odds in a 'n2x' optional claimer at Saratoga on August 1,,,,,,,,,,,,,,,,,
Win Willy,4/29/2009,"3, c, Monarchos - City Fair, by Carson City",M. Robertson,"Stress fracture ankle (no surgery)
",Finished third at 8-5 odds in a 'n$y' optional claimer at Arlington on September 17,,,,,,,,,,,,,,,,,
Wiredfortwotwenty,11/11/2009,"4, g, Greatness - Birthday Wire, by Birdonthewire",B. Koriner,Shin,Finished fourth at 5-1 odds in 'n2x' optional claimer at Hollywood on November 13,,,,,,,,,,,,,,,,,
Worstcasescenario,9/25/2009,"2, f, Forbidden Apple - Stacie's Halo, by Halo",R. Violette Jr.,Sore feet (will train in glue-on shoes),Finished sixth at 3-1 odds in the Grade 3 Tempted Stakes at Aqueduct on November 7,,,,,,,,,,,,,,,,,
Wrenice,12/30/2008,"5, m, Uncle Abbie - Slew, by Slewacide",R. Mayfield,"Feet
",Finished third at 5-2 odds in the JEH Stallion Station Stakes at Lone Star on April 18,,,,,,,,,,,,,,,,,
Yankee Bravo,8/6/2008,"4, c, Yankee Gentleman - Vickey Jane, by Royal Academy",P. Gallagher,"Foot 
",Finished sixth at 12-1 odds in the Grade 2 San Carlos Handicap at Santa Anita on February 21,,,,,,,,,,,,,,,,,
Yankee Injunuity,10/31/2009,"5, h, Yankee Victor - Honestly Honey, by Irish Open",J. McMullen,"Strained suspensory ligament
",Finished third at 9-5 odds in an 'ANC' allowance at Tampa Bay Downs on December 27,,,,,,,,,,,,,,,,,
Yes She's a Lady,10/30/2009,"3, f, Yes It's True - Wonder Lady, by Deputy Minister",T. Pletcher,"Temperature, Respiratory illness (sent to farm in Kentucky)",Finished fifth at 6-5 odds in the Poker Night Stakes at Aqueduct on November 1,,,,,,,,,,,,,,,,,
You and I Forever,7/1/2009,"4, c, A.P. Indy - You, by You and I",W. Mott/M. Wolfson,Knee chip (surgery),Finished first at 4-5 odds in a 'n$y' optional claimer at Calder on July 3,,,,,,,,,,,,,,,,,
You Go West Girl,8/21/2009,"5, m, Mr. Greeley - Careless Heiress, by Runaway Groom",T. Proctor,Skin disease,Finished fifth at 5-1 odds in the Yaddo Stakes at Saratoga on August 23,,,,,,,,,,,,,,,,,
You Luckie Mann,11/5/2008,"3, c, Exchange Rate - Terri's Choice, by West Acre",M. Wolfson,Ulcer on eye,Finished second at 17-10 odds in the Spectacular Bid Stakes at Gulfstream on January 3,,,,,,,,,,,,,,,,,
Youmzain,7/23/2009,"6, h, Sinndar - Sadima, by Sadler's Wells",M. Channon,"Swollen joint
",Finished third at 2-1 odds in the Group 1 Grosser Preis Von Baden at Baden-baden on September 6,,,,,,,,,,,,,,,,,
Zacinto,10/30/2009,"3, c, Dansili - Ithaca, by Distant View",M. Stoute,Tweaked muscle behind (missed two days of training),Finished eleventh at 4-1 odds in the Grade 1 Breeders' Cup Mile at Oak Tree at Santa Anita on November 7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DELETIONS - 2008,Date Added,"Age, Sex, Pedigree",TRAINER,INJURY,"LAST RACE (DISTANCE - TRACK, DATE)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Advice,8/28/2008,"2, c, Chapel Royal - Word o'Wisdom, by Hennessy",T. Pletcher,Cough,Finished second (placed third) at 7-2 odds in the Grade 3 Arlington-Washington Futurity on September 13,,,,,,,,,,,,,,,,,
After the Applause,10/3/2008,"2, f, Lost Soldier - Cades Cove, by Kayrawan",N. Gonzalez,Heat stroke,Finished ninth at 3-1 odds in the Grade 3 Mazarine Stakes at Woodbine on October 5,,,,,,,,,,,,,,,,,
Ah Day,,"5, g, Malibu Moon - Endette, by Thirty Eight Paces",K. Leatherbury,,Finished first at 4-5 odds in the Fire Plug Stakes at Laurel on January 19,,,,,,,,,,,,,,,,,
Ah Day,2/14/2008,"5, g, Malibu Moon - Endette, by Thirty Eight Paces",K. Leatherbury,"Injured Right Shoulder
",Finished sixth at 5-2 odds in the Teddy Drone Stakes at Monmouth on August 3,,,,,,,,,,,,,,,,,
Alaazo,,"3, c, A.P. Indy - Atelier, by Deputy Minister","W. Mott
",,Finished first at 9-2 odds in a 'N2L' allowance at Gulfstream on February 4,,,,,,,,,,,,,,,,,
Alezzandro,5/17/2008,"4, c, High Yield - Eseni, by Granacus",K. Attard,Swelling and Hematoma on Chest,Finished sixth at 9-5 odds in the Grade 3 Vigil Stakes at Woodbine on May 19,,,,,,,,,,,,,,,,,
Ann's Plan,11/24/2008,"5, m, Game Plan - Carrie Ann, by Star of Briartic",W. Spawr,Vet scratch,"Finished first at 2-1 odds in a $8,000 claimer at Hollywood on November 26",,,,,,,,,,,,,,,,,
Another Aleyna,4/28/2008,"3, f, Out of Place - Aleyna's Love, by Kris S.",David La Croix,"Bone Chip Knee - Surgery
",Finished eighth at 39-1 in a 'n1x' optional claimer at Hollywood on April 30,,,,,,,,,,,,,,,,,
Any Limit,8/19/2008,"5, m, Limit Out - Clandestinely, by Forty Niner",H. Jerkens,Hind ankle,Finished sixth at 6-1 odds in the Grade 3 TCA Stakes at Keeneland on October 4,,,,,,,,,,,,,,,,,
A.P. Arrow,5/16/2008,"6, h, A.P. Indy - Garimpeiro, by Mr. Prospector",T. Pletcher,"Colic-Like Symptoms - Sent to New Bolton Clinic
",Finished sixth at 6-5 odds in the Grade 1 Suburban Handicap at Belmont on June 28,,,,,,,,,,,,,,,,,
Arashi Cat,9/1/2008,"2, c, Fusaichi Pegasus - A Chance of Storm, by Storm Cat",J. Mullins,Quarter crack,Finished third at 12-1 odds in the Jack Goodman Stakes at Oak Tree on October 18,,,,,,,,,,,,,,,,,
Ariege,8/7/2008,"3, f, Doneraile Court - Kostroma, by Caerleon",R. Frankel,Ankle Chip (Surgery),Finished first at 2-1 odds in the Madame Jumel Stakes at Saratoga on August 9,,,,,,,,,,,,,,,,,
Artiste Royal,7/16/2008,"7, r, Danehill - Agathe, by Manila",N. Drysdale,"Splint Bone Injury
",Finished second at 3-5 odds in a 'ANC' allowance at Golden Gate on November 21,,,,,,,,,,,,,,,,,
Ashton Girl,11/24/2008,"3, f, Elnadim - Black Jack Girl, by Ridgewood Ben",P. Gallagher,"Colic, missed two days",Finished fourth at 9-2 odds in a 'n1x' allowance at Hollywood on November 26,,,,,,,,,,,,,,,,,
Atka,10/23/2008,"2, f, Swiss Yodeler - Artica, by Frosty the Snowman",M. Harrington,Wrenched back,Finished second at 13-1 odds in a 'n1x' optional claimer at Hollywood on November 6,,,,,,,,,,,,,,,,,
Authenicat,5/26/2008,"3, f, D'wildcat - Authentic Deed, by Alydeed",J. Carroll,"Respiratory Congestion
",Finished third at 32-1 odds in the Woodbine Oaks at Woodbine on June 8,,,,,,,,,,,,,,,,,
Autism Awareness,3/12/2008,"3, c, Tannersmyman - Lady Essex, by Sharp Victor",G. Vallejo,"Chip Left Knee - Surgery
",Finished sixth at 9-2 odds in a 'n2x' allowance at Golden Gate on November 15,,,,,,,,,,,,,,,,,
Azul Leon,7/3/2008,"2, c, Lion Heart - Quick Blue, by Cure the Blues",D. O' Neill,Sick,Finished first at 11-10 odds in the Grade 3 Hollywood Juvenile Championship on July 5,,,,,,,,,,,,,,,,,
Backbackbackgone,10/16/2008,"2, c, Put It Back - Pat's Sister, by Defrere",P. Miller,Sore shins,Finished first at 2-1 odds in the Jack Goodman Stakes at Oak Tree on October 18,,,,,,,,,,,,,,,,,
Barrier Reef,3/12/2008,"3, c, Mizzen Mast - Partyship, by Premiership",S. bin Suroor,"""Grabbed himself""
",Finished seventh at 2-1 in the Grade 3 Transylvania at Keeneland on April 4,,,,,,,,,,,,,,,,,
Bear Lahaina,4/17/2008,"3, f, Silver Deputy - Lahaina Lass, by Affirmed",R. Baker,"Injured
",Finished seventh at 4-1 odds in a 'n1x' allowance at Woodbine on July 18,,,,,,,,,,,,,,,,,
Bear Now,10/31/2007,"4, f, Tiznow - Controlled, by In Excess",R. Baker,"Bled
",Finished second at even money in the Grade 3 Whimsical Stakes at Woodbine on April 20,,,,,,,,,,,,,,,,,
Bear Now,9/9/2008,"4, f, Tiznow - Controlled, by In Excess",R. Baker,Spill - scrapes,Finished first at 6-5 odds in the Grade 3 Kentucky Cup Distaff at Turfway Park on September 27,,,,,,,,,,,,,,,,,
Beresford,10/22/2007,"3, c. Touch Gold - Naughty n Haughty, by Crafty Prospector",D. Hendricks,"""Condylar Fracture,"" no surgery",Finished seventh at 17-1 odds in a 'n1x' allowance at Del Mar on July 17,,,,,,,,,,,,,,,,,
Big Brown,10/2/2007,"3, c, Boundary - Mien, by Nureyev",R. Dutrow Jr.,Foot Problems,Finished first at 13-10 odds in a 'n1x' allowance at Gulfstream on March 5,,,,,,,,,,,,,,,,,
Big Brown,5/26/2008,"3, c, Boundary - Mien, by Nureyev",R. Dutrow Jr.,"Burned Hind Ankles, Quarter Crack Left Front Foot (Acrylic Patch)
",DNF at 3-10 odds in the Grade 1 Belmont Stakes at Belmont on June 7,,,,,,,,,,,,,,,,,
Billie Bob,,"3, f, Bring the Heat - Purgatory, by Devil's Bag","W. Ward
",,Finished third at 6-1 odds in a statebred 'n1x' allowance at Santa Anita on February 17,,,,,,,,,,,,,,,,,
Blackberry Road,2/14/2008,"3, c, Gone West - Strawberry Reason, by Strawberry Road",D. Carroll,"Minor Cuts
",Finished fourth at 11-1 odds in the Grade 2 Louisiana Derby on March 8.,,,,,,,,,,,,,,,,,
Black Seventeen,10/2/2007,"4, c, Is It True - Fuzzy Navel, by Strike the Anvil",B. Koriner,"Ankle
",Finished second at 13-10 odds in the Oakland Stakes at Golden Gate on June 14,,,,,,,,,,,,,,,,,
Blue Chagall,8/28/2008,"3, c, Testa Rossa - Eloisey, by Pitskelly",J. Canani,Sick,Finished ninth at 15-1 odds in the Grade 2 Del Mar Derby on August 31,,,,,,,,,,,,,,,,,
Bob Black Jack,2/14/2008,"3, c, Stormy Jack - Molly's Prospector, by Native Prospector",J. Kasparoff,"""Hot Foot""
",Finished third at 7-2 odds in the Grade 2 San Felipe Stakes at Santa Anita on March 15,,,,,,,,,,,,,,,,,
Bob Black Jack,5/5/2008,"3, c, Stormy Jack - Molly's Prospector, by Native Prospector",J. Kasparoff,"Minor Cut on Leg
",Finished fifth at 2-1 odds in the Grade 3 Vernon Underwood Stakes at Hollywood on November 22,,,,,,,,,,,,,,,,,
Bold Start,,"4, c, Jump Start - Dorky, by Flying Paster","K. McPeek
",,Finished third at 3-1 odds in a 'n3x' optional claimer at Gulfstream on January 19,,,,,,,,,,,,,,,,,
Bonanza,9/26/2008,"3, c, Jump Start - Explore the Gold, by Fast Gold",M. Casse,"""Stuck a splinter in his neck"" - M. Casse",Finished sixth at 10-1 odds in a 'n3x' optional claimer at Woodbine on November 15,,,,,,,,,,,,,,,,,
Bontempi,11/12/2008,"3, c, Sligo Bay - Pumpkin's Pride, by Louis Quatorze",D. Ryan,Ankle,"Finished fifth at 2-1 in a $16,000 claimer at Tampa Bay Downs on December 23",,,,,,,,,,,,,,,,,
Boom Town Sally,7/31/2008,"2, f, Yes It's True - Gowestforgold, by Java Gold",K. Breen,Infected cut,Finished second at 11-10 odds in a 'n2L' allowance at Delaware on August 11,,,,,,,,,,,,,,,,,
Booted,,"3, c, A.P. Indy - Scoot Yer Boots, by Seeking the Gold","R. Mandella
",,Finished fourth at 11-10 odds in a maiden special weight at Santa Anita on February 16,,,,,,,,,,,,,,,,,
Boule d'Or,5/12/2008,"7, h, Croco Rouge - Saffron Crocus, by Shareef Dancer",J. Mullins,"Respiratory Infection
",Finished sixth at 5-1 odds in the Grade 2 Sunset Handicap at Hollywood on July 13,,,,,,,,,,,,,,,,,
Brooklyn Boy,4/21/2008,"4, Gone West - Moon Queen, by Sadler's Wells",H. Jerkens,"Bruised Foot
",Finished sixth at 5-2 odds in a 'n2x' optional claimer at Aqueduct on April 23,,,,,,,,,,,,,,,,,
Brother Derek,10/2/2007,"5, h, Benchmark - Miss Soft Sell, by Siyah Kalem",D. Hendricks,"Bone Chip Ankle (Arthroscopic Surgery), Adverse Reaction to Shot, Quarter Crack Front Hoof
",Finished second at 9-10 odds in a 'n3x' allowance at Santa Anita on April 20,,,,,,,,,,,,,,,,,
Buddy's Humor,4/25/2008,"4, c, Distorted Humor - Hello Barbara Sue, by Dehere",B. Levine,Body Sore,Finished sixth at 5-2 odds in the Grade 3 Fort Marcy Handicap at Aqueduct on April 27,,,,,,,,,,,,,,,,,
Bustin Stones,,"4, c, City Zip - Shesasurething, by Prospectors Gamble","B. Levine
","Foot Bruise, Double Knee Surgery",Finished first at 4-5 odds in the Promonroe Stakes at Aqueduct on January 21,,,,,,,,,,,,,,,,,
Bustin Stones,3/28/2008,"4, c, City Zip - Shesasurething, by Prospectors Gamble",B. Levine,"Mucus, Bled Slightly Workout
",Finished first at 5-2 odds in the Grade 1 Carter Handicap at Aqueduct on April 5,,,,,,,,,,,,,,,,,
